ignore,writer,id,gender
,Max Martin,1,m
,Max Martin,2,m
,Max Martin,3,m
,Max Martin,4,m
,Max Martin,5,m
,Max Martin,6,m
,Max Martin,7,m
,Max Martin,8,m
,Max Martin,9,m
,Max Martin,10,m
,Max Martin,11,m
,Max Martin,12,m
,Max Martin,13,m
,Max Martin,14,m
,Max Martin,15,m
,Max Martin,16,m
,Max Martin,17,m
,Max Martin,18,m
,Max Martin,19,m
,Max Martin,20,m
,Max Martin,21,m
,Max Martin,22,m
,Max Martin,23,m
,Max Martin,24,m
,Max Martin,25,m
,Max Martin,26,m
,Max Martin,27,m
,Max Martin,28,m
,Max Martin,29,m
,Max Martin,30,m
,Max Martin,31,m
,Max Martin,32,m
,Max Martin,33,m
,Max Martin,34,m
,Max Martin,35,m
,Max Martin,36,m
,Max Martin,37,m
,Max Martin,38,m
,Max Martin,39,m
,Max Martin,40,m
,Max Martin,41,m
,Max Martin,42,m
,Jimmy Jam,43,m
,Jimmy Jam,44,m
,Jimmy Jam,45,m
,Jimmy Jam,46,m
,Jimmy Jam,47,m
,Jimmy Jam,48,m
,Jimmy Jam,49,m
,Jimmy Jam,50,m
,Jimmy Jam,51,m
,Jimmy Jam,52,m
,Jimmy Jam,53,m
,Jimmy Jam,54,m
,Jimmy Jam,55,m
,Jimmy Jam,56,m
,Jimmy Jam,57,m
,Jimmy Jam,58,m
,Jimmy Jam,59,m
,Jimmy Jam,60,m
,Jimmy Jam,61,m
,Jimmy Jam,62,m
,Jimmy Jam,63,m
,Jimmy Jam,64,m
,Jimmy Jam,65,m
,Jimmy Jam,66,m
,Jimmy Jam,67,m
,Jimmy Jam,68,m
,Jimmy Jam,69,m
,Jimmy Jam,70,m
,Jimmy Jam,71,m
,Jimmy Jam,72,m
,Jimmy Jam,73,m
,Jimmy Jam,74,m
,Terry Lewis,43,m
,Terry Lewis,44,m
,Terry Lewis,45,m
,Terry Lewis,46,m
,Terry Lewis,47,m
,Terry Lewis,48,m
,Terry Lewis,49,m
,Terry Lewis,50,m
,Terry Lewis,51,m
,Terry Lewis,52,m
,Terry Lewis,53,m
,Terry Lewis,54,m
,Terry Lewis,55,m
,Terry Lewis,56,m
,Terry Lewis,57,m
,Terry Lewis,58,m
,Terry Lewis,59,m
,Terry Lewis,60,m
,Terry Lewis,61,m
,Terry Lewis,62,m
,Terry Lewis,63,m
,Terry Lewis,64,m
,Terry Lewis,65,m
,Terry Lewis,66,m
,Terry Lewis,67,m
,Terry Lewis,68,m
,Terry Lewis,69,m
,Terry Lewis,70,m
,Terry Lewis,71,m
,Terry Lewis,72,m
,Terry Lewis,73,m
,Terry Lewis,74,m
,Dr. Luke,9,m
,Dr. Luke,108,m
,Dr. Luke,14,m
,Dr. Luke,110,m
,Dr. Luke,15,m
,Dr. Luke,16,m
,Dr. Luke,113,m
,Dr. Luke,114,m
,Dr. Luke,19,m
,Dr. Luke,20,m
,Dr. Luke,21,m
,Dr. Luke,24,m
,Dr. Luke,26,m
,Dr. Luke,28,m
,Dr. Luke,121,m
,Dr. Luke,122,m
,Dr. Luke,32,m
,Dr. Luke,35,m
,Dr. Luke,125,m
,Dr. Luke,37,m
,Dr. Luke,38,m
,Dr. Luke,128,m
,Dr. Luke,39,m
,Dr. Luke,130,m
,Dr. Luke,131,m
,Dr. Luke,132,m
,Dr. Luke,41,m
,Dr. Luke,134,m
,Babyface,135,m
,Babyface,136,m
,Babyface,137,m
,Babyface,138,m
,Babyface,139,m
,Babyface,140,m
,Babyface,141,m
,Babyface,142,m
,Babyface,143,m
,Babyface,144,m
,Babyface,145,m
,Babyface,146,m
,Babyface,147,m
,Babyface,148,m
,Babyface,149,m
,Babyface,150,m
,Babyface,151,m
,Babyface,152,m
,Babyface,153,m
,Babyface,154,m
,Babyface,155,m
,Babyface,156,m
,Babyface,157,m
,Babyface,158,m
,Mariah Carey,47,f
,Mariah Carey,160,f
,Mariah Carey,161,f
,Mariah Carey,162,f
,Mariah Carey,163,f
,Mariah Carey,164,f
,Mariah Carey,165,f
,Mariah Carey,166,f
,Mariah Carey,167,f
,Mariah Carey,168,f
,Mariah Carey,169,f
,Mariah Carey,170,f
